,city,country,humidity %,latitude,current temp F,max temperature F,wind speed mph,cloudiness %
0,Port Alfred,ZA,81,-33.5906,65.97,65.97,20.04,99
1,Qaanaaq,GL,76,77.484,3.79,3.79,1.32,100
2,Bredasdorp,ZA,77,-34.5322,62.6,62.6,14.97,100
3,São João da Barra,BR,57,-21.6403,82.4,82.4,11.5,40
4,Karla,EE,52,59.3723,39.7,41.0,21.85,40
5,Litovko,RU,58,49.2361,26.42,26.42,14.67,74
6,Muravlenko,RU,98,63.7898,31.86,31.86,10.8,100
7,Hobart,AU,88,-42.8794,56.03,57.2,6.91,90
8,Bengkulu,ID,87,-3.8004,75.42,75.42,4.38,99
9,Punta Arenas,CL,81,-53.15,48.09,48.2,9.22,90
10,Lebu,CL,89,-37.6167,57.52,57.52,9.6,100
11,Cayenne,GF,74,4.9333,83.5,84.2,14.97,90
12,Brigham City,US,93,41.5102,33.01,33.8,10.36,90
13,Yellowknife,CA,86,62.456,17.76,18.0,13.8,90
14,Longyearbyen,SJ,48,78.2186,10.4,10.4,13.8,20
15,Rikitea,PF,73,-23.1203,77.05,77.05,11.61,78
16,Sheridan,US,86,44.8333,33.22,34.0,6.91,90
17,Minot,US,36,48.2325,47.44,50.0,3.44,1
18,Jining,CN,49,35.405,54.57,54.57,1.83,100
19,Narok,KE,93,-1.0783,59.68,59.68,5.7,83
20,Saint-Philippe,RE,69,-21.3585,79.14,80.6,4.61,75
21,Codrington,AU,94,-38.2667,50.97,50.97,4.99,10
22,Narsaq,GL,87,60.9167,35.6,35.6,4.61,75
23,Pevek,RU,99,69.7008,-22.94,-22.94,6.55,100
24,Saskylakh,RU,94,71.9167,8.33,8.33,10.69,100
25,Haines Junction,CA,67,60.7522,12.2,12.2,8.05,100
26,Tazovsky,RU,89,67.4667,31.14,31.14,14.54,98
27,Bound Brook,US,17,40.5684,64.17,64.99,9.22,1
28,Makakilo City,US,64,21.3469,68.7,71.6,6.91,1
29,Mackay,AU,94,-21.15,73.53,75.2,3.44,90
30,Kununurra,AU,94,-15.7667,75.2,75.2,5.75,7
31,Busselton,AU,95,-33.65,60.39,61.0,5.26,78
32,Misratah,LY,70,32.3754,62.62,62.62,15.03,0
33,Dikson,RU,99,73.5069,-5.33,-5.33,5.48,50
34,Guánica,PR,53,17.9716,82.51,84.0,5.99,99
35,Paamiut,GL,97,61.994,33.1,33.1,6.04,100
36,Zhigalovo,RU,97,54.8097,25.95,25.95,1.9,50
37,Atuona,PF,79,-9.8,80.55,80.55,11.5,49
38,New Norfolk,AU,77,-42.7826,54.09,55.99,2.55,31
39,Bluff,NZ,89,-46.6,54.0,54.0,8.01,100
40,Kerema,PG,88,-7.9631,77.18,77.18,7.14,99
41,Avarua,CK,78,-21.2078,78.8,78.8,16.11,90
42,Singkang,MY,89,2.1006,78.4,78.8,2.3,20
43,George,ZA,94,-33.963,60.8,60.8,8.05,40
44,Mataura,NZ,89,-46.1927,54.0,54.0,8.01,98
45,Riyadh,SA,9,24.6877,82.87,84.2,5.75,0
46,Manzhouli,CN,34,49.6,28.87,28.87,7.25,4
47,Hilo,US,83,19.7297,63.54,68.0,5.75,90
48,Nikolskoye,RU,64,59.7035,35.85,37.0,8.95,40
49,Naryan-Mar,RU,86,67.6713,35.06,35.06,16.35,99
50,Hermanus,ZA,79,-34.4187,66.0,66.0,1.99,99
51,Kapaa,US,73,22.0752,67.39,71.6,23.02,90
52,Fort Frances,CA,53,48.5999,46.11,50.0,8.05,1
53,Shimoda,JP,77,34.6667,49.35,54.0,9.8,100
54,Mareeba,AU,83,-17.0,72.75,75.2,4.61,90
55,Khatanga,RU,99,71.9667,-5.84,-5.84,6.42,88
56,Cabinda,AO,76,-5.55,81.03,81.03,7.31,58
57,Omsukchan,RU,97,62.5333,1.29,1.29,2.44,100
58,Ol'ga,RU,79,43.7444,40.84,40.84,5.57,64
59,Cape Town,ZA,56,-33.9258,69.96,71.6,11.5,0
60,Steamboat Springs,US,74,40.485,29.03,32.0,12.66,90
61,Arraial do Cabo,BR,65,-22.9661,79.83,80.6,11.5,40
62,Albany,US,23,42.6001,57.63,59.0,7.0,1
63,Llata,PE,82,-9.4167,55.4,55.4,4.16,100
64,Ushuaia,AR,58,-54.8,51.8,51.8,6.91,75
65,Klaksvík,FO,64,62.2266,28.4,28.4,21.85,75
66,George Town,MY,89,5.4112,78.85,80.01,7.16,20
67,Sibolga,ID,88,1.7427,76.41,76.41,2.17,93
68,Chapais,CA,53,49.7834,44.6,44.6,5.75,1
69,Fairbanks,US,76,64.8378,-4.2,0.0,1.1,40
70,Bull Savanna,JM,63,17.8868,80.1,80.1,6.46,97
71,Afuá,BR,76,-0.1567,82.85,82.85,5.32,100
72,Vaini,TO,94,-21.2,71.6,71.6,5.75,40
73,Samarai,PG,80,-10.6167,81.5,81.5,10.16,97
74,Wewak,PG,85,-3.5534,77.52,77.52,5.12,98
75,Jamestown,US,47,42.097,63.63,66.99,5.75,75
76,Souillac,MU,89,-20.5167,78.8,78.8,8.05,75
77,Isangel,VU,83,-19.55,74.73,74.73,10.76,59
78,Pangnirtung,CA,78,66.1451,6.8,6.8,2.3,20
79,Naliya,IN,76,23.2667,80.08,80.08,11.41,0
